scenario_model,scenario_depth,respondent_id,timestamp,weight_accuracy,weight_contiguity,weight_residual,weight_replicon,combo,rank,overall_score,is_eligible,is_near_tie,is_winner,scoring_version,source_data_hash,survey_data_hash,source_data_commit
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,chopper-untrimmed,13,70.88711028047199,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,filtlong-porechop_abi,14,61.79375727983916,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,filtlong-dorado,15,59.44268502505692,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,filtlong-untrimmed,16,58.72129961853187,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,filtlong-barbell,17,54.51775940206308,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,seqkit-dorado,1,95.20537796987075,True,False,True,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,chopper-dorado,2,93.30110667709789,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,unprocessed-porechop_abi,3,92.51810940669148,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,unprocessed-dorado,4,91.14908907541299,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,unprocessed-untrimmed,5,89.08910825016045,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,seqkit-barbell,6,88.56152081699551,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,chopper-barbell,7,86.15695250094474,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,fastplong-all,8,77.62164070391424,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,seqkit-porechop_abi,9,77.53200270448306,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,chopper-porechop_abi,10,75.90115396673862,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,seqkit-untrimmed,11,73.86678085805711,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,unprocessed-barbell,12,72.51486980673661,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,chopper-untrimmed,13,71.65097373599502,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,filtlong-porechop_abi,14,45.99377949834092,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,filtlong-untrimmed,15,44.35559009851429,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,filtlong-dorado,16,43.60432146110038,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,4,2026-06-11T05:57:49.965985+00:00,25.0,15.0,10.0,50.0,filtlong-barbell,17,37.861396474624236,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
